policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg
color,color,1000,reduced_lighting,5,0,contact_no_grasp,1151,38.333,7,0,40.54079551389667,1.267312662296753
color,color,1000,reduced_lighting,6,1,success,379,12.6,1,1,2.7490651892256217,47.57102859605132
color,color,1000,reduced_lighting,7,1,success,438,14.567,1,1,3.6507730037134856,45.460671123345264
color,color,1000,reduced_lighting,8,1,success,337,11.2,1,1,1.9495549313881604,48.25119197987027
color,color,1000,reduced_lighting,9,1,success,351,11.667,1,1,2.469462024126937,46.41808391533749
color,color,1000,reduced_lighting,10,1,success,351,11.667,1,1,1.2552563416828342,49.567117592655556
color,color,1000,reduced_lighting,11,0,contact_no_grasp,1151,38.333,8,1,41.41755006751318,10.463875175583178
color,color,1000,reduced_lighting,12,1,success,379,12.6,1,1,2.1982842594906806,47.388246073243096
color,color,1000,reduced_lighting,13,1,success_after_missed_grasp,566,18.833,4,1,2.912331973406385,46.60224323216587
color,color,1000,reduced_lighting,14,1,success,405,13.467,1,1,1.6917380390763448,47.587452428002756
color,color,1000,reduced_lighting,15,1,success,426,14.167,1,1,1.6175793178063351,47.31283901048306
color-seed2000,color,2000,different_object,1,1,success,400,13.3,1,1,1.2459028264604406,48.48736552544988
color-seed2000,color,2000,different_object,2,1,success,372,12.367,1,1,2.508515211668641,48.11590613697182
color-seed2000,color,2000,different_object,3,1,success,368,12.233,1,1,1.9259685139888667,47.41836185939242
color-seed2000,color,2000,different_object,4,1,success,401,13.333,1,1,2.9601036502820754,46.87119750159743
color-seed2000,color,2000,different_object,5,1,success,413,13.733,1,1,2.221993701848408,48.60856681979779
color-seed2000,color,2000,different_object,6,1,success,399,13.267,1,1,2.66010186156009,47.719056568100896
color-seed2000,color,2000,different_object,7,1,success,401,13.333,1,1,2.106978030043134,48.11886235435546
color-seed2000,color,2000,different_object,8,1,success,383,12.733,1,1,2.998512765982543,47.0952494703898
color-seed2000,color,2000,different_object,9,1,success,399,13.267,1,1,2.1194560173717356,47.666678692046055
color-seed2000,color,2000,different_object,10,1,success,382,12.7,1,1,1.9622789686336368,48.34972773481659
color-seed2000,color,2000,different_object,11,1,success,344,11.433,1,1,2.0613104417948414,47.98667927327642
color-seed2000,color,2000,different_object,12,1,success,401,13.333,1,1,1.7158093195471302,48.26657371805611
color-seed2000,color,2000,different_object,13,1,success,412,13.7,1,1,1.5753347181075092,48.59472832116411
