condition,eval_cell,seed,episode,success
recovery,different_object,1000,3,1
recovery,different_object,1000,4,0
recovery,different_object,1000,5,1
recovery,different_object,1000,6,1
recovery,different_object,1000,7,1
recovery,different_object,1000,8,1
recovery,different_object,1000,9,1
recovery,different_object,1000,10,1
recovery,different_object,1000,11,1
recovery,different_object,1000,12,1
recovery,different_object,1000,13,0
recovery,different_object,1000,14,0
recovery,different_object,1000,15,1
recovery,distractors,1000,1,1
recovery,distractors,1000,2,1
recovery,distractors,1000,3,1
recovery,distractors,1000,4,1
recovery,distractors,1000,5,1
recovery,distractors,1000,6,0
recovery,distractors,1000,7,1
recovery,distractors,1000,8,1
recovery,distractors,1000,9,0
recovery,distractors,1000,10,1
recovery,distractors,1000,11,1
recovery,distractors,1000,12,1
recovery,distractors,1000,13,1
recovery,distractors,1000,14,1
recovery,distractors,1000,15,1
color,in_distribution,1000,1,1
color,in_distribution,1000,2,1
color,in_distribution,1000,3,1
color,in_distribution,1000,4,1
color,in_distribution,1000,5,1
color,in_distribution,1000,6,1
color,in_distribution,1000,7,1
color,in_distribution,1000,8,0
color,in_distribution,1000,9,1
color,in_distribution,1000,10,1
color,in_distribution,1000,11,0
color,in_distribution,1000,12,1
color,in_distribution,1000,13,1
color,in_distribution,1000,14,1
color,in_distribution,1000,15,1
color,new_positions,1000,1,0
color,new_positions,1000,2,0
color,new_positions,1000,3,0
color,new_positions,1000,4,0
color,new_positions,1000,5,0
color,new_positions,1000,6,0
color,new_positions,1000,7,0
color,new_positions,1000,8,0
color,new_positions,1000,9,0
color,new_positions,1000,10,0
color,new_positions,1000,11,0
color,new_positions,1000,12,0
color,new_positions,1000,13,0
color,new_positions,1000,14,0
color,new_positions,1000,15,0
color,reduced_lighting,1000,1,1
color,reduced_lighting,1000,2,0
color,reduced_lighting,1000,3,1
color,reduced_lighting,1000,4,1
color,reduced_lighting,1000,5,0
color,reduced_lighting,1000,6,1
color,reduced_lighting,1000,7,1
color,reduced_lighting,1000,8,1
color,reduced_lighting,1000,9,1
color,reduced_lighting,1000,10,1
color,reduced_lighting,1000,11,0
color,reduced_lighting,1000,12,1
color,reduced_lighting,1000,13,1
color,reduced_lighting,1000,14,1
color,reduced_lighting,1000,15,1
color,different_object,1000,1,1
color,different_object,1000,2,1
color,different_object,1000,3,1
color,different_object,1000,4,1
color,different_object,1000,5,1
color,different_object,1000,6,1
color,different_object,1000,7,1
color,different_object,1000,8,1
color,different_object,1000,9,1
color,different_object,1000,10,1
color,different_object,1000,11,1
color,different_object,1000,12,1
color,different_object,1000,13,1
color,different_object,1000,14,1
color,different_object,1000,15,1
color,distractors,1000,1,1
color,distractors,1000,2,1
color,distractors,1000,3,1
color,distractors,1000,4,1
color,distractors,1000,5,1
color,distractors,1000,6,1
