policy,condition,seed,cell,episode,n_frames,duration_s,max_dev_deg,departed,latency_s,deg_per_step,peak_deg_step,exec_s,success,failure_mode,regrasp,instance
clean-seed2000,clean,2000,near_1in,1,549,18.266666412353516,131.56,True,5.63,0.8084,8.525,12.63,1,success,,-
clean-seed2000,clean,2000,near_1in,2,1147,38.20000076293945,115.54,True,6.87,0.7074,8.276,31.33,0,contact_no_grasp,,-
clean-seed2000,clean,2000,near_1in,3,597,19.866666793823242,129.34,True,3.97,0.7867,8.061,15.9,1,success,,-
clean-seed2000,clean,2000,near_1in,4,1148,38.233333587646484,120.87,True,9.87,0.6858,13.788,28.37,0,contact_no_grasp,,-
clean-seed2000,clean,2000,near_1in,5,1148,38.233333587646484,113.68,True,4.83,0.6864,6.19,33.4,0,contact_no_grasp,,-
clean-seed2000,clean,2000,near_1in,6,513,17.066667556762695,120.76,True,3.87,0.7642,7.004,13.2,1,success,,-
clean-seed2000,clean,2000,near_1in,7,1150,38.29999923706055,119.51,True,4.0,0.6984,7.137,34.3,0,contact_no_grasp,,-
clean-seed2000,clean,2000,near_1in,8,1148,38.233333587646484,114.37,True,4.77,0.7277,13.722,33.47,0,contact_no_grasp,,-
clean-seed2000,clean,2000,near_2in,1,1131,37.66666793823242,59.52,True,37.17,1.1864,4.51,0.5,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,2,1150,38.29999923706055,112.46,True,3.47,0.7002,8.754,34.83,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,3,1145,38.13333511352539,112.19,True,11.5,0.7247,10.478,26.63,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,4,1149,38.266666412353516,113.93,True,10.67,0.7244,8.869,27.6,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,5,1149,38.266666412353516,112.65,True,12.3,0.7223,7.333,25.97,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,6,1149,38.266666412353516,113.86,True,14.53,0.7479,8.534,23.73,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,7,1149,38.266666412353516,112.3,True,11.97,0.7091,9.184,26.3,0,timeout_other,,-
clean-seed2000,clean,2000,near_2in,8,1146,38.16666793823242,111.73,True,33.6,0.7468,7.704,4.57,0,contact_no_grasp,,-
clean-seed2000,clean,2000,new_positions,1,1151,38.33333206176758,119.69,True,11.03,0.7543,8.318,27.3,0,timeout_other,,E1
clean-seed2000,clean,2000,new_positions,2,1151,38.33333206176758,115.99,True,21.23,0.8024,8.758,17.1,0,timeout_other,,E1
